vendor_id,vendor_name,currency,total_spend,invoice_count
0000001075,Tiefland Glass AG,DEM,1785705275.25,62
0000000300,AluCast,DEM,1209594173.65,92
0000001075,Tiefland Glass AG,EUR,1084431725.74,69
0000000300,AluCast,EUR,837979669.40,127
0000001001,SKF Kugelmeier KGaA,DEM,426662209.43,203
0000001001,SKF Kugelmeier KGaA,EUR,333403320.92,332
0000001011,SKC Americas,EUR,39483673.86,334
0000001000,C.E.B. BERLIN,USD,38601775.00,9
0000001011,SKC Americas,DEM,27614673.39,78
0000001005,PAQ Deutschland GmbH,EUR,24750000.00,360
0000001005,PAQ Deutschland GmbH,DEM,19380000.00,164
0000001015,Wollner AG,EUR,15320000.00,120
0000001015,Wollner AG,DEM,11970000.00,52
