schema,table,column,data_type
public,AFKO,mandt,text
public,AFKO,aufnr,text
public,AFKO,gltrp,text
public,AFKO,gstrp,text
public,AFKO,ftrms,text
public,AFKO,gltrs,text
public,AFKO,gstrs,text
public,AFKO,gstri,text
public,AFKO,getri,text
public,AFKO,gltri,text
public,AFKO,ftrmi,text
public,AFKO,ftrmp,text
public,AFKO,rsnum,text
public,AFKO,gasmg,text
public,AFKO,gamng,text
public,AFKO,gmein,text
public,AFKO,plnbez,text
public,AFKO,plnty,text
public,AFKO,plnnr,text
public,AFKO,plnaw,text
public,AFKO,plnal,text
public,AFKO,pverw,text
public,AFKO,plauf,text
public,AFKO,plsvb,text
public,AFKO,plnme,text
public,AFKO,plsvn,text
public,AFKO,pdatv,text
public,AFKO,paenr,text
public,AFKO,plgrp,text
public,AFKO,lodiv,text
public,AFKO,stlty,text
public,AFKO,stlbez,text
public,AFKO,stlst,text
public,AFKO,stlnr,text
public,AFKO,sdatv,text
public,AFKO,sbmng,text
public,AFKO,sbmeh,text
public,AFKO,saenr,text
public,AFKO,stlal,text
public,AFKO,stlan,text
public,AFKO,slsvn,text
public,AFKO,slsbs,text
public,AFKO,aufld,text
public,AFKO,dispo,text
public,AFKO,aufpl,text
public,AFKO,fevor,text
public,AFKO,fhori,text
public,AFKO,terkz,text
public,AFKO,redkz,text
public,AFKO,aprio,text
public,AFKO,ntzue,text
public,AFKO,vorue,text
public,AFKO,profid,text
public,AFKO,vorgz,text
public,AFKO,sichz,text
public,AFKO,freiz,text
public,AFKO,upter,text
public,AFKO,bedid,text
public,AFKO,pronr,text
public,AFKO,zaehl,text
public,AFKO,mzaehl,text
public,AFKO,zkriz,text
public,AFKO,prueflos,text
public,AFKO,klvarp,text
public,AFKO,klvari,text
public,AFKO,rgekz,text
public,AFKO,plart,text
public,AFKO,flg_aob,text
public,AFKO,flg_arbei,text
public,AFKO,gltpp,text
public,AFKO,gstpp,text
public,AFKO,gltps,text
public,AFKO,gstps,text
public,AFKO,ftrps,text
public,AFKO,rdkzp,text
public,AFKO,trkzp,text
public,AFKO,rueck,text
public,AFKO,rmzhl,text
public,AFKO,igmng,text
public,AFKO,ratid,text
public,AFKO,groid,text
public,AFKO,cuobj,text
public,AFKO,gluzs,text
public,AFKO,gsuzs,text
public,AFKO,revlv,text
public,AFKO,rshty,text
public,AFKO,rshid,text
public,AFKO,rsnty,text
public,AFKO,rsnid,text
public,AFKO,nauterm,text
public,AFKO,naucost,text
public,AFKO,stufe,text
public,AFKO,wegxx,text
public,AFKO,vwegx,text
public,AFKO,arsnr,text
public,AFKO,arsps,text
public,AFKO,maufnr,text
public,AFKO,lknot,text
public,AFKO,rknot,text
public,AFKO,prodnet,text
public,AFKO,iasmg,text
public,AFKO,abarb,text
public,AFKO,aufnt,text
public,AFKO,aufpt,text
public,AFKO,aplzt,text
public,AFKO,no_disp,text
public,AFKO,csplit,text
public,AFKO,aennr,text
public,AFKO,cy_seqnr,text
public,AFKO,breaks,text
public,AFKO,vorgz_trm,text
public,AFKO,sichz_trm,text
public,AFKO,trmdt,text
public,AFKO,gluzp,text
public,AFKO,gsuzp,text
public,AFKO,gsuzi,text
public,AFKO,geuzi,text
public,AFKO,glupp,text
public,AFKO,gsupp,text
public,AFKO,glups,text
public,AFKO,gsups,text
public,AFKO,chsch,text
public,AFKO,kapt_vorgz,text
public,AFKO,kapt_sichz,text
public,AFKO,lead_aufnr,text
public,AFKO,pnetstartd,text
public,AFKO,pnetstartt,text
public,AFKO,pnetendd,text
public,AFKO,pnetendt,text
public,AFKO,kbed,text
